-1001609679653,"**Hexaware Off Campus Drive 2022 | For Graduate Engineer Trainee**

Degree: BE, B Tech

Branch: Any Branches

Batch: 2023

Salary: INR 4 LPA

Experience: Fresher

**Apply Link**: https://placementkit.in/hexaware-off-campus-drive-2022-for-graduate-engineer-trainee/

**Telegram**: https://t.me/placementkit

**Share This Info To Your Friends and WhatsApp Group**"
-1001380637350,"`Accenture Hiring Associate Software Engineer [Offcampus] - 4,50,000

`**Last Date**: 23 Nov, 2020
**Drive Date**: 24th Nov, 2020

**Apply Link**: [Click Here

](https://www.elitmus.com/jobs/32772-accenture-solutions-associate-software-engineer-bangalore-hyderabad-chennai-mumbai-pune-gurugram)**Batch**: 2019 & 2020

**Location: **Bangalore, Hyderabad, Chennai, Mumbai, Pune, Gurugram

**Note**: Just Sign up on Elitmus and apply, no need to pay and give elitmus pH test exam."
-1001184271074,"Intel is hiring 
Position: Software Developer Intern
 Apply: https://intel.ly/3g7sGpG
 All the best."
-1001590952025,"HCL Off Campus Drive hiring for Trainee Engineer
Qualification : BE/B.Tech/MCA
Location : Across India
2019/2020/2021 graduates can apply
Apply Link: https://nexturl.in/H4kWf"
-1001135264574,"**American India Foundation** (AIF) hiring for **Multiple Roles**

AIF, founded by Bill Clinton & Atal Bihar Vajpayee, invites applications for Multiple positions.

Details: https://bit.ly/32AU9Jx

All the Best!"
-1001590952025,"Infosys is currently hiring freshers for Systems Engineer position
Location: Coimbatore
Qualification: B.E/ B.Tech/ M.E/ M.Tech, MCA / MSc, BCA/ B.Sc, Diploma 
Pass out Batch: Not mentioned
Apply Now: https://oflatest.net/infosys-systems-engineer/"
-1001562730876,"LG Soft Off Campus Drive | 2019 2020 & 2021 Batch | 
 3.4LPA

bit.ly/35SWSOL

**Telegram** - t.me/placementkit"
-1001590952025,"Caterpillar hiring for Associate Engineer - Design - APP-India
Location: Bangalore
Career Area: Engineering
More details here: https://oflatest.net/bio/"
-1001590952025,"Midas Management hiring for Business Associate/Management Trainee
Qualification: B.Tech/ MBA/ BBA (Fresher Apply)
Salary: 3 - 6 LPA
Type: Work From Home
Apply Now: https://nexturl.in/qRKhR"
-1001299734537,https://www.linkedin.com/posts/kartikeyathapliyal_startup-hiring-entrylevel-activity-6657580757520871424-fMPJ
