-1001562730876,"`IBM Hiring Associate Systems Engineer | Freshers | B.Tech M.Tech`

 **Last Date :** 07 Sep 2021

https://careers.ibm.com/job/13651298/associate-system-engineer-remote/

Share - t.me/placementkit"
-1001135264574,"**Cognizant** is hiring!!!

**Position's**:
 Team Lead
 Business Analyst

**Details**: https://bit.ly/2XylPLQ

All the Best!"
-1001184271074,"Simens is hiring 
Position: Fresher Engineer
 Apply: https://sie.ag/3xFh3fJ
 All the best."
-1001309472884,"Jendamark Hiring Fresher For Software Engineer

Location  : Pune

Qualification  : B.E/B.Tech

Batch   : 2019/2020/2021

CTC  : 4 LPA

Work Experience : Fresher

Last Date To Apply : 30 June 2021

Apply Link  : https://bit.ly/35RYqZy

Telegram Group Link : https://t.me/fresheroffcampus"
-1001380637350,"```THINKITIVE OFF CAMPUS HIRING | 2018/19/20/21 Batch | BE/Mtech | CS/IT/MCA

```**thinkitive.com/company/freshers-software-engineer.html****

**~via @PrepFlix"
-1001309472884,"MetricStream Hiring Fresher For MTS - Member Of Technical Staff Profile

Location         : Bangalore

Qualification : B.E/B.Tech/MCA

Batch              : 2021

CTC                  : 6 LPA

Work Experience : Fresher

Apply Link   : https://bit.ly/3qy3rjs

Telegram Group Link : https://t.me/fresheroffcampus"
-1001609679653,"**Ameriprise India Careers Drive | For Technology Trainee**

Degree: BE, B Tech, BSC, MSC, BCA, MCA

Branch: Any Branches

Batch: 2020, 21, 22

Salary: INR 4 LPA*

Experience: Fresher 

**Apply Link**: https://placementkit.in/ameriprise-india-careers-drive/

**Telegram**: https://t.me/offcampusdrive_it

**Share This Info To Your Friends and WhatsApp Group**"
-1001562730876,"`Zensar Hiring Junior Engineer  | 2020 & 2021 Batch
 4LPA`

https://zensar.register.hiringtests.in/index.php?r=user/candidateIndex

**Telegram -** t.me/placementkit"
-1001590952025,"Ericsson Off Campus Hiring For Graduate Engineer Trainee Position 
Branch: BE/BTech/ME/MTech,
Batch: 2017-2021
Apply Now: https://oflatest.net/bio/"
-1001299734537,"Link to the course: https://practice.geeksforgeeks.org/courses/placement-preparation-course

Use invite code :- *GFG72A4ZC*"
-1001590952025,"Amazon is hiring for Trans Ops Specialist at ROC facilitates (Relay Operations Center)
Location: Hyderabad
Any graduate can apply
Apply Now: https://oflatest.net/"
-1001309472884,"Inmobi Hiring Fresher For Intern -Tech Branding, Content Strategy & Operations

Location  : Bangalore

Qualification   : Any Degree

Batch     : Any Batch

Work Experience : Fresher

Intern Stipend  : 20-30k Per Month

Apply Link   : https://bit.ly/3jsybRc

Telegram Group Link : https://t.me/fresheroffcampus"
