-1001609679653,"**Accenture Off Campus Drive | For Project Management**

Degree: Any Degree

Branch: Any Stream

Batch : 2018, 19, 20, 21, 2022

Salary:  3.6 LPA*

Experience: Fresher (0  1)

**Apply Link**: https://placementkit.in/accenture-off-campus-drive-for-project-management/

**Telegram**: https://t.me/placementkit

**Share This Info To Your Friends and WhatsApp Group**"
-1001184271074,"Micron is hiring 
Position: Java Developer
 Apply: https://bit.ly/3svKbDm
 All the best."
-1001135264574,"**Google** is hiring **Interns**!!!

**Position:**
 Engineering Interns

It's a **PAID Internship.**

**Details:**https://bit.ly/google_oc

All the Best!
_______________________________
Posting 10+ Educational Opportunities daily:
 Instagram: https://bit.ly/oc_insta
 Telegram: https://lnkd.in/gVzTsTX
 WhatsApp: http://bit.ly/join_oc
 Facebook: https://bit.ly/oc_facebook
 LinkedIn: https://bit.ly/linkedin_oc
_______________________________"
-1001135264574,"**Piramal Group** is hiring **Interns**!

 **Positions**:
 Research and Development
 Engineering
 Production
 Quality
 Supply Chain
 Sales and Marketing
 Human Resources
 Finance
 Safety, Health, and Environment

 **How to apply:**
Details: https://bit.ly/31YpKmr


All the Best"
-1001562730876,"**INFOSYS IS HIRING**` | 2019/20/21/22 batch`

 **Last Date -** 1st MAR 2022
**System Engineer** `| 3.6LPA
  Engg./MCA/MSc` [Apply Link
](http://surveys.infosysapps.com/r/a/Infosys_Offcampus_FebMAR)
**Operation Executive** | `2.2LPA`
     B.Com [Apply Link](http://surveys.infosysapps.com/r/a/Infosys_Offcampus_BComMAR)
     Diploma [Apply Link](http://surveys.infosysapps.com/r/a/Infosys_Offcampus_DiplomaMAR)
     BSc/BCA [Apply Link
](http://surveys.infosysapps.com/r/a/Infosys_Offcampus_NEGMAR)
**Telegram -** t.me/prepflix"
-1001380637350,"```XL Dynamics Off Campus Drive | 3 - 5lpa | Hiring based on skills but not degree

```xldynamics.com/Opening/it-help-desk

~via @PrepFilx"
-1001184271074,"UNISYS is hiring 
Position: IT Support
 Apply: https://bit.ly/2QsFbRF
 All the best."
-1001309472884,"Zebra Hiring Fresher For Software Engineer

Location  : Pune

Qualification   : Bachelor's Degree

Batch   : 2019/2020/2021 and others

Work Experience : Fresher

CTC  : 8.5 LPA

Apply Link   : https://bit.ly/3ApbJyG

Telegram Group Link : https://t.me/fresheroffcampus"
-1001309472884,"*Latest *IBM Off Campus Hiring Fresher For Systems Engineer

Location : Across India

Qualification : B.E/B.Tech/M.E/M.Tech/MCA

Batch : 2018/2019/2020

Work Experience : Fresher

CTC  : 4 LPA

Apply Link : https://bit.ly/3vO24yT

Telegram Group Link : https://t.me/fresheroffcampus"
-1001609679653,"**TCS Walk In Interview 2022 | For Multiple post**

Degree: BA, BBA, BBM, B.Com, B.Sc, BCA and MBA

Interview: Date 5th  9th September 2022.

Batch: 2018, 19, 20, 21, 2022

Salary:  3.4 LPA*

Experience: Fresher

**Apply Link**: https://placementkit.in/tcs-walk-in-interview-2022/

**Telegram**: https://t.me/placementkit

**Share This Info To Your Friends and WhatsApp Group**"
